epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
51,10044.5,0.78699,0.34484,0.02472,0.08044,0.89753,0.88353,0.90092,0.60732,1.16255,1.10928,0.02243,0.12222,0.000505,0.000505,0.000505,0.60732,0
52,10229.5,0.78069,0.34215,0.02405,0.07848,0.89408,0.88076,0.91486,0.60223,1.28168,1.18981,0.02323,0.13597,0.0004951,0.0004951,0.0004951,0.60223,0
53,10418.9,0.78622,0.34578,0.02449,0.07941,0.89297,0.86978,0.899,0.59699,1.25329,1.08266,0.02261,0.12591,0.0004852,0.0004852,0.0004852,0.59699,0
54,10614.7,0.76875,0.33454,0.02435,0.07908,0.8816,0.88956,0.89525,0.59299,1.25475,1.13607,0.02243,0.12203,0.0004753,0.0004753,0.0004753,0.59299,0
55,10808.1,0.77636,0.33946,0.02409,0.08041,0.87645,0.88517,0.90865,0.5999,1.28925,1.15776,0.02337,0.12484,0.0004654,0.0004654,0.0004654,0.5999,0
56,11000.1,0.78161,0.34311,0.02392,0.08015,0.89619,0.87571,0.90851,0.59325,1.30109,1.23178,0.02369,0.12467,0.0004555,0.0004555,0.0004555,0.59325,0
57,11186.6,0.76739,0.33493,0.02332,0.07904,0.91304,0.85347,0.87874,0.58531,1.31276,1.13051,0.02288,0.10977,0.0004456,0.0004456,0.0004456,0.58531,0
58,11378.4,0.77092,0.34793,0.02368,0.07846,0.92168,0.8914,0.90564,0.59576,1.3183,1.09007,0.02346,0.12987,0.0004357,0.0004357,0.0004357,0.59576,0
59,11572.4,0.76791,0.33428,0.02402,0.07643,0.93487,0.86275,0.88211,0.58417,1.3261,1.18569,0.02286,0.11723,0.0004258,0.0004258,0.0004258,0.58417,0
60,11760.4,0.77032,0.34407,0.02462,0.07765,0.9086,0.85011,0.85738,0.5674,1.33893,1.22515,0.02295,0.12044,0.0004159,0.0004159,0.0004159,0.5674,0
61,11956.2,0.75866,0.3356,0.02544,0.07564,0.88071,0.88793,0.8905,0.59036,1.31368,1.18078,0.02358,0.11224,0.000406,0.000406,0.000406,0.59036,0
62,12143.7,0.7527,0.33465,0.02475,0.07471,0.89981,0.89682,0.90626,0.59605,1.30272,1.16553,0.02385,0.11307,0.0003961,0.0003961,0.0003961,0.59605,0
63,12332.8,0.74845,0.3351,0.02493,0.07394,0.91306,0.89754,0.91548,0.61189,1.28199,1.10706,0.0239,0.10787,0.0003862,0.0003862,0.0003862,0.61189,0
64,12526.8,0.75158,0.32641,0.02434,0.07538,0.89401,0.88899,0.89791,0.61424,1.25342,1.13908,0.0231,0.11723,0.0003763,0.0003763,0.0003763,0.61424,0
65,12716.2,0.75282,0.33637,0.02443,0.07376,0.87665,0.90634,0.90506,0.60331,1.21528,0.99258,0.02291,0.12192,0.0003664,0.0003664,0.0003664,0.60331,0
