epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
49,9906.78,0.80306,0.33479,0.00573,0.91436,0.86138,0.89283,0.50248,1.6675,1.14947,0.01155,0.0005248,0.0005248,0.0005248,0.50248,0
50,10110.6,0.8084,0.33786,0.00572,0.90341,0.88207,0.90814,0.50937,1.6746,1.12735,0.01152,0.0005149,0.0005149,0.0005149,0.50937,0
51,10307.5,0.80935,0.33537,0.00578,0.90005,0.86106,0.89192,0.49282,1.56814,0.93913,0.01143,0.000505,0.000505,0.000505,0.49282,0
52,10512.1,0.80586,0.33051,0.00573,0.91871,0.87001,0.9108,0.51335,1.66832,1.1921,0.01138,0.0004951,0.0004951,0.0004951,0.51335,0
53,10712.3,0.79822,0.32187,0.00567,0.8975,0.85665,0.89011,0.50626,1.64496,1.16593,0.01134,0.0004852,0.0004852,0.0004852,0.50626,0
54,10913,0.79895,0.32825,0.00574,0.88633,0.86239,0.87745,0.48941,1.63283,1.21443,0.01145,0.0004753,0.0004753,0.0004753,0.48941,0
55,11115.7,0.77666,0.31978,0.00546,0.86795,0.84851,0.87659,0.49303,1.67811,1.22593,0.01168,0.0004654,0.0004654,0.0004654,0.49303,0
56,11310.7,0.77864,0.32026,0.00557,0.9054,0.86994,0.9073,0.50812,1.69029,1.20211,0.01177,0.0004555,0.0004555,0.0004555,0.50812,0
57,11517.1,0.78308,0.32704,0.00558,0.91839,0.87197,0.89982,0.50239,1.66945,1.11102,0.0115,0.0004456,0.0004456,0.0004456,0.50239,0
58,11715.8,0.77621,0.32668,0.00549,0.91428,0.86521,0.90105,0.50172,1.66141,1.1232,0.0113,0.0004357,0.0004357,0.0004357,0.50172,0
59,11911.2,0.7775,0.31658,0.00558,0.91097,0.87457,0.91115,0.50996,1.66834,1.09835,0.01147,0.0004258,0.0004258,0.0004258,0.50996,0
60,12117.2,0.7754,0.32021,0.00548,0.90163,0.87343,0.9016,0.51333,1.67142,1.12271,0.01153,0.0004159,0.0004159,0.0004159,0.51333,0
61,12315.7,0.76162,0.30942,0.00538,0.90781,0.87197,0.9116,0.51857,1.61372,1.1758,0.01101,0.000406,0.000406,0.000406,0.51857,0
62,12512.4,0.75593,0.31121,0.00538,0.90323,0.85445,0.898,0.50328,1.64443,1.14291,0.01133,0.0003961,0.0003961,0.0003961,0.50328,0
63,12718.1,0.75383,0.30998,0.00534,0.906,0.87962,0.90332,0.51747,1.68334,1.20455,0.0116,0.0003862,0.0003862,0.0003862,0.51747,0
64,12917.6,0.75196,0.30433,0.00536,0.90067,0.86594,0.89963,0.5154,1.63565,1.19677,0.01122,0.0003763,0.0003763,0.0003763,0.5154,0
65,13118.7,0.75256,0.30624,0.00533,0.90666,0.86659,0.89069,0.51653,1.64747,1.096,0.01147,0.0003664,0.0003664,0.0003664,0.51653,0
66,13322.2,0.75752,0.30916,0.00528,0.90231,0.86811,0.89056,0.50472,1.66441,1.19987,0.01159,0.0003565,0.0003565,0.0003565,0.50472,0
67,13525.1,0.74309,0.30903,0.00524,0.9036,0.87028,0.89184,0.50543,1.60151,1.03184,0.01145,0.0003466,0.0003466,0.0003466,0.50543,0
68,13736.3,0.73308,0.29914,0.00522,0.89998,0.86772,0.89178,0.5049,1.67474,1.30333,0.01159,0.0003367,0.0003367,0.0003367,0.5049,0
69,13967.8,0.7317,0.3041,0.00515,0.90187,0.85991,0.88791,0.50392,1.68418,1.22441,0.01174,0.0003268,0.0003268,0.0003268,0.50392,0
70,14175.5,0.72626,0.29536,0.00518,0.90672,0.86454,0.89437,0.51207,1.63914,1.25412,0.0115,0.0003169,0.0003169,0.0003169,0.51207,0
71,14369.6,0.72465,0.29514,0.00517,0.90301,0.86592,0.89166,0.50901,1.65036,1.24571,0.01159,0.000307,0.000307,0.000307,0.50901,0
72,14568.9,0.72184,0.30006,0.00508,0.91439,0.85602,0.91155,0.52252,1.67104,1.21655,0.01162,0.0002971,0.0002971,0.0002971,0.52252,0
73,14853.3,0.72314,0.29694,0.00509,0.90176,0.87441,0.89982,0.51411,1.66856,1.27432,0.01163,0.0002872,0.0002872,0.0002872,0.51411,0
74,15048.7,0.72265,0.29606,0.00513,0.91082,0.84851,0.89431,0.51072,1.69713,1.23617,0.01191,0.0002773,0.0002773,0.0002773,0.51072,0
75,15245.7,0.719,0.29481,0.00508,0.9162,0.86366,0.90602,0.51566,1.68704,1.15591,0.01188,0.0002674,0.0002674,0.0002674,0.51566,0
76,15533.6,0.71707,0.29545,0.00505,0.91036,0.86936,0.90124,0.51761,1.6661,1.20133,0.01155,0.0002575,0.0002575,0.0002575,0.51761,0
77,15831.1,0.70501,0.29009,0.00491,0.91452,0.8748,0.91319,0.51627,1.67864,1.16215,0.01164,0.0002476,0.0002476,0.0002476,0.51627,0
78,16100,0.70287,0.28663,0.0049,0.90297,0.87066,0.90245,0.50811,1.6735,1.29156,0.01161,0.0002377,0.0002377,0.0002377,0.50811,0
79,16311.4,0.69346,0.28049,0.00486,0.90397,0.87862,0.90681,0.5125,1.68756,1.2356,0.01171,0.0002278,0.0002278,0.0002278,0.5125,0
