epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
80,337.601,1.13735,0.68081,0.00578,0.89186,0.83627,0.90182,0.51581,1.57435,0.94578,0.00766,0.0002179,0.0002179,0.0002179
81,341.586,1.11636,0.67904,0.00558,0.89489,0.83566,0.90465,0.51351,1.59245,0.94821,0.00774,0.000208,0.000208,0.000208
82,345.801,1.12375,0.66515,0.00583,0.87967,0.85631,0.90512,0.50352,1.61773,0.95977,0.00787,0.0001981,0.0001981,0.0001981
83,349.853,1.12295,0.66312,0.00573,0.87658,0.8479,0.90589,0.50417,1.61752,0.96574,0.00786,0.0001882,0.0001882,0.0001882
84,353.953,1.14926,0.66194,0.00583,0.90226,0.82692,0.90591,0.50925,1.60617,0.96243,0.00781,0.0001783,0.0001783,0.0001783
85,358.044,1.10418,0.67661,0.00559,0.87715,0.83392,0.90184,0.51739,1.58201,0.95614,0.00769,0.0001684,0.0001684,0.0001684
86,362.282,1.15104,0.70011,0.0057,0.87028,0.83042,0.90334,0.51922,1.57374,0.94967,0.00765,0.0001585,0.0001585,0.0001585
87,366.308,1.11948,0.67559,0.00556,0.86403,0.83217,0.90366,0.52196,1.56194,0.94107,0.00759,0.0001486,0.0001486,0.0001486
88,370.333,1.13191,0.68811,0.00589,0.85665,0.84627,0.90418,0.52244,1.56077,0.93235,0.00759,0.0001387,0.0001387,0.0001387
89,374.684,1.12049,0.65284,0.0057,0.85379,0.8549,0.90378,0.51777,1.56042,0.93739,0.00755,0.0001288,0.0001288,0.0001288
90,378.853,1.09612,0.63962,0.00537,0.86109,0.84529,0.90496,0.51683,1.56722,0.92841,0.0076,0.0001189,0.0001189,0.0001189
91,386.244,1.07354,0.61856,0.00551,0.8552,0.85839,0.90458,0.51426,1.56323,0.93927,0.00758,0.000109,0.000109,0.000109
92,391.143,1.07463,0.61549,0.00571,0.87822,0.8447,0.90255,0.5112,1.57854,0.91541,0.00768,9.91e-05,9.91e-05,9.91e-05
93,395.173,1.06338,0.62647,0.00575,0.87945,0.84266,0.90304,0.50993,1.57789,0.92277,0.00768,8.92e-05,8.92e-05,8.92e-05
94,399.727,1.06028,0.60104,0.00575,0.87078,0.83392,0.90228,0.50814,1.58784,0.92244,0.00776,7.93e-05,7.93e-05,7.93e-05
95,403.824,1.04304,0.60753,0.00558,0.8484,0.86098,0.90186,0.4999,1.6086,0.9237,0.00789,6.94e-05,6.94e-05,6.94e-05
96,407.9,1.06551,0.60488,0.00574,0.85592,0.8516,0.90151,0.49645,1.61598,0.92658,0.00793,5.95e-05,5.95e-05,5.95e-05
97,412.307,1.04452,0.59126,0.0057,0.85938,0.8549,0.90187,0.49171,1.62821,0.92804,0.00799,4.96e-05,4.96e-05,4.96e-05
98,417.065,1.04782,0.60737,0.00573,0.85746,0.85186,0.90078,0.49155,1.63487,0.92905,0.00803,3.97e-05,3.97e-05,3.97e-05
99,421.399,1.06969,0.6043,0.00587,0.8662,0.84965,0.90088,0.48954,1.64276,0.93074,0.00807,2.98e-05,2.98e-05,2.98e-05
