epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
73,705.728,1.13497,0.82582,0.00666,0.74682,0.57143,0.52482,0.33431,0.30264,0.70438,0.00159,0.0006436,0.0006436,0.0006436,0.33431,0
74,715.043,1.12887,0.77504,0.00612,0.63679,0.57143,0.52757,0.34511,0.28588,0.60245,0.0015,0.00063865,0.00063865,0.00063865,0.34511,0
75,724.409,0.94025,0.63418,0.00501,0.66502,0.71429,0.61668,0.41154,0.27796,0.55108,0.00133,0.0006337,0.0006337,0.0006337,0.41154,0
76,733.687,1.21013,0.69959,0.00658,0.5506,0.57143,0.57167,0.38359,0.22635,0.61102,0.0011,0.00062875,0.00062875,0.00062875,0.38359,0
77,742.998,1.10674,0.78469,0.00576,0.98156,0.57143,0.63375,0.43045,0.22381,0.63183,0.00107,0.0006238,0.0006238,0.0006238,0.43045,0
78,752.315,1.24765,0.73372,0.00697,0.8819,0.57143,0.67224,0.39556,0.28402,0.5307,0.00127,0.00061885,0.00061885,0.00061885,0.39556,0
79,761.564,1.28511,0.69355,0.00661,0.99081,0.42857,0.60685,0.33949,0.2976,0.53397,0.00143,0.0006139,0.0006139,0.0006139,0.33949,0
80,770.747,1.2288,0.58777,0.00647,0.70709,0.42857,0.46953,0.28994,0.25733,0.59873,0.00128,0.00060895,0.00060895,0.00060895,0.28994,0
81,780.36,1.28045,1.02285,0.00699,0.73223,0.42857,0.43164,0.26751,0.27381,0.62395,0.00139,0.000604,0.000604,0.000604,0.26751,0
82,789.877,0.97215,1.00034,0.00496,0.71853,0.42857,0.50432,0.27572,0.28228,0.61771,0.00147,0.00059905,0.00059905,0.00059905,0.27572,0
83,799.298,1.03562,0.68831,0.00566,0.60107,0.57143,0.4988,0.3389,0.24513,0.53493,0.00116,0.0005941,0.0005941,0.0005941,0.3389,0
84,808.56,1.19091,0.64198,0.0065,0.73892,0.57143,0.59082,0.42654,0.23122,0.49986,0.00113,0.00058915,0.00058915,0.00058915,0.42654,0
85,817.874,1.2869,0.75117,0.00693,0.98388,0.57143,0.61568,0.4224,0.24381,0.48779,0.00122,0.0005842,0.0005842,0.0005842,0.4224,0
86,827.037,1.05312,0.68572,0.00567,0.62964,0.57143,0.56209,0.38452,0.25513,0.55575,0.00126,0.00057925,0.00057925,0.00057925,0.38452,0
87,836.349,1.0429,0.56472,0.00565,0.69844,0.57143,0.58096,0.39053,0.26329,0.50428,0.00128,0.0005743,0.0005743,0.0005743,0.39053,0
88,845.736,1.08502,0.87903,0.00601,1,0.42019,0.54714,0.3611,0.25981,0.50059,0.00122,0.00056935,0.00056935,0.00056935,0.3611,0
89,855.072,1.033,0.51663,0.00579,1,0.42033,0.54128,0.3249,0.28681,0.51773,0.0013,0.0005644,0.0005644,0.0005644,0.3249,0
90,864.457,1.00608,0.60592,0.00527,0.70478,0.42857,0.49,0.28333,0.33986,0.53445,0.00169,0.00055945,0.00055945,0.00055945,0.28333,0
91,873.617,1.03764,0.6648,0.00547,0.64974,0.57143,0.53136,0.31874,0.3123,0.50851,0.00155,0.0005545,0.0005545,0.0005545,0.31874,0
