epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
67,1567.94,1.13608,0.80237,0.00605,0.87642,0.83072,0.89607,0.51374,1.53287,0.9837,0.00754,0.0003466,0.0003466,0.0003466
68,1589.7,1.18556,0.80575,0.00589,0.86907,0.84091,0.89256,0.50777,1.52696,0.98097,0.00747,0.0003367,0.0003367,0.0003367
69,1612.96,1.14143,0.80086,0.00596,0.86883,0.83916,0.8917,0.50293,1.54916,0.97922,0.00759,0.0003268,0.0003268,0.0003268
70,1636.18,1.09519,0.77808,0.00553,0.87035,0.84501,0.89608,0.49721,1.56668,0.96903,0.0077,0.0003169,0.0003169,0.0003169
71,1657.66,1.1816,0.79226,0.00596,0.87586,0.84091,0.89674,0.4981,1.56047,0.95133,0.00768,0.000307,0.000307,0.000307
72,1679.82,1.1485,0.79358,0.00572,0.89401,0.83741,0.9005,0.51321,1.5275,0.92912,0.00747,0.0002971,0.0002971,0.0002971
73,1701.95,1.19716,0.78972,0.00608,0.89671,0.8479,0.90397,0.51866,1.51832,0.92015,0.00741,0.0002872,0.0002872,0.0002872
74,1724.38,1.12561,0.76295,0.00553,0.90978,0.84965,0.90695,0.52301,1.51022,0.90921,0.00737,0.0002773,0.0002773,0.0002773
75,1746.58,1.13113,0.77127,0.0057,0.90926,0.84615,0.90767,0.52277,1.51026,0.9082,0.00738,0.0002674,0.0002674,0.0002674
76,1769.4,1.19687,0.78276,0.00595,0.913,0.84395,0.90499,0.5172,1.53388,0.91149,0.00753,0.0002575,0.0002575,0.0002575
77,1792.67,1.18024,0.78306,0.00578,0.91472,0.84387,0.90367,0.51198,1.54756,0.91124,0.00762,0.0002476,0.0002476,0.0002476
78,1814.95,1.13081,0.76673,0.00581,0.91265,0.84266,0.90202,0.50613,1.56105,0.92231,0.00767,0.0002377,0.0002377,0.0002377
79,1837.55,1.15924,0.75908,0.00576,0.91087,0.84266,0.90124,0.50404,1.55959,0.92616,0.00765,0.0002278,0.0002278,0.0002278
80,1860.29,1.16899,0.76526,0.00599,0.92014,0.83217,0.89839,0.50363,1.54431,0.93265,0.00753,0.0002179,0.0002179,0.0002179
81,1884.41,1.10935,0.75492,0.00587,0.91307,0.83392,0.89847,0.50336,1.53637,0.93605,0.00746,0.000208,0.000208,0.000208
82,1908.86,1.14163,0.73203,0.00593,0.89893,0.83566,0.89642,0.50368,1.52647,0.94327,0.00737,0.0001981,0.0001981,0.0001981
83,1935.73,1.11247,0.72887,0.00551,0.90106,0.83741,0.89691,0.50602,1.52313,0.93549,0.00737,0.0001882,0.0001882,0.0001882
84,1958.22,1.13088,0.74295,0.00556,0.8966,0.83392,0.89478,0.50507,1.53083,0.93491,0.00738,0.0001783,0.0001783,0.0001783
85,1979.54,1.16305,0.73753,0.00603,0.88828,0.83398,0.88838,0.50091,1.54887,0.94228,0.00745,0.0001684,0.0001684,0.0001684
86,2002.25,1.20897,0.75456,0.00631,0.88954,0.83063,0.88657,0.50163,1.55316,0.94492,0.00747,0.0001585,0.0001585,0.0001585
87,2025.67,1.12993,0.72552,0.00557,0.89386,0.83217,0.88999,0.50451,1.54292,0.93682,0.00743,0.0001486,0.0001486,0.0001486
88,2048.65,1.16074,0.75045,0.00592,0.89585,0.84208,0.89509,0.50993,1.5187,0.92552,0.00734,0.0001387,0.0001387,0.0001387
89,2072.75,1.13829,0.74447,0.0058,0.89607,0.8441,0.89552,0.51533,1.51015,0.91756,0.00731,0.0001288,0.0001288,0.0001288
90,2096.99,1.14902,0.73079,0.00564,0.90646,0.83916,0.89861,0.51446,1.50692,0.91062,0.00733,0.0001189,0.0001189,0.0001189
91,2122.23,1.03947,0.6994,0.00573,0.90755,0.84097,0.89885,0.51338,1.51425,0.9168,0.00739,0.000109,0.000109,0.000109
92,2146.79,1.06053,0.68544,0.00583,0.89009,0.85664,0.89825,0.50567,1.5544,0.92421,0.00763,9.91e-05,9.91e-05,9.91e-05
93,2169.55,1.07976,0.69092,0.00593,0.88104,0.85459,0.90048,0.49983,1.57487,0.92833,0.00777,8.92e-05,8.92e-05,8.92e-05
94,2192.5,1.09417,0.69172,0.00585,0.88736,0.85315,0.89521,0.48832,1.61446,0.94019,0.00802,7.93e-05,7.93e-05,7.93e-05
